name,element,GW,assists,bonus,goals_scored,minutes,own_goals,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Andrey Nascimento dos Santos,186,8,0,0,0,0,0,0,0.1,-6023,0,4.4,0,0.0
André Tavares Gomes,244,8,0,0,0,0,0,0,0.2,-13289,0,4.4,0,0.0
Anis Slimane,587,8,0,0,0,45,0,0,0.0,-4049,2,4.8,1,-0.08333333333333331
Anssumane Fati Vieira,700,8,0,0,1,117,0,0,0.5,39408,1,6.5,8,0.2666666666666666
Anthony Elanga,378,8,1,1,1,293,0,0,0.8,6305,0,5.0,19,-4.333333333333332
Anthony Gordon,412,8,4,3,2,541,0,0,5.4,464236,5,5.6,37,-9.291666666666668
Anthony Knockaert,273,8,0,0,0,0,0,0,0.0,-5703,0,4.4,0,0.0
Antony Matheus dos Santos,372,8,0,0,0,335,0,0,0.6,-81195,1,6.8,9,-1.25
Arnaut Danjuma Groeneveld,601,8,0,0,1,359,0,0,0.2,854,0,5.5,15,-4.625
Ben Doak,628,8,0,0,0,13,0,0,0.1,-597,0,4.4,1,0.0
Ben Osborn,489,8,0,0,0,192,0,0,0.0,-1827,1,4.8,4,-0.375
Ben Pearson,79,8,0,0,0,0,0,0,0.0,-98,0,4.5,0,0.0
Bernardo Veiga de Carvalho e Silva,344,8,1,3,1,374,0,0,1.3,-337991,2,6.3,19,-6.875
Bertrand Traoré,59,8,0,0,0,9,0,0,0.0,-1422,0,5.0,1,-0.25
Billy Gilmour,133,8,3,4,0,434,0,0,0.6,42338,1,4.9,24,-7.041666666666668
Bobby Clark,627,8,0,0,0,0,0,0,0.0,-358,0,4.5,0,0.0
Bobby De Cordova-Reid,270,8,1,2,2,436,0,0,0.2,-893,1,5.5,27,-2.5
Boubacar Kamara,47,8,0,1,0,676,0,0,0.1,-1390,2,5.0,16,-2.916666666666666
Boubacar Traoré,574,8,0,0,0,91,0,0,0.5,-10661,0,4.4,5,-1.125
Braian Ojeda Rodríguez,459,8,0,0,0,0,0,0,0.0,-332,0,4.5,0,0.0
Brandon Aguilera Zamora,434,8,0,0,0,0,0,0,0.0,-1005,0,4.5,0,0.0
Brennan Johnson,450,8,0,0,0,310,0,0,0.3,-36445,0,5.8,9,-1.833333333333334
Bruno Borges Fernandes,373,8,1,5,2,720,0,0,17.4,-846551,3,8.4,33,-7.208333333333332
Bruno Cavaco Jordão,561,8,0,0,0,0,0,0,0.2,-5596,0,4.4,0,0.0
Bruno Guimarães Rodriguez Moura,406,8,1,2,1,704,0,0,2.7,-73748,4,5.8,25,-6.291666666666668
Bryan Gil Salvatierra,494,8,0,0,0,0,0,0,0.0,-244,0,4.9,0,0.0
Bryan Mbeumo,108,8,0,4,4,720,0,0,21.7,1158251,1,6.8,40,-6.708333333333336
Bukayo Saka,19,8,3,8,4,613,0,0,50.0,-917564,1,8.6,53,-11.416666666666664
Callum Hudson-Odoi,205,8,0,3,1,228,0,0,0.3,21089,0,4.9,15,-5.0
Carlos Baleba,690,8,0,0,0,110,0,0,0.0,2136,1,4.5,3,0.2
Carlos Henrique Casimiro,376,8,0,0,1,648,0,0,3.7,-129993,1,5.4,21,-4.583333333333332
Carlos Mendes Gomes,325,8,0,0,0,0,0,0,0.0,-1306,0,4.5,0,0.0
Carney Chukwuemeka,196,8,0,0,1,125,0,0,1.7,-105976,2,4.3,6,-0.625
Cheick Doucouré,223,8,0,0,0,630,0,0,0.1,732,2,5.0,15,-3.208333333333334
Cheikhou Kouyaté,451,8,0,0,0,59,0,0,0.0,-1082,1,4.8,5,-0.4583333333333335
Christian Eriksen,379,8,1,4,1,374,0,0,0.6,-11243,0,5.9,22,-5.958333333333332
Christian Nørgaard,110,8,1,2,1,670,0,0,0.2,276,2,5.5,25,-4.083333333333332
Christian Pulisic,213,8,0,0,0,0,0,0,0.0,-375,0,5.5,0,0.0
Cole Palmer,362,8,2,2,1,249,0,0,0.9,63235,1,4.9,21,-0.08333333333333304
Conor Coventry,529,8,0,0,0,0,0,0,0.1,-1835,0,4.4,0,0.0
Conor Gallagher,202,8,1,0,0,675,0,0,0.4,-9692,1,5.4,21,-3.083333333333334
